Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
183,vertical limit,2000,pg-13,thriller,martin campbell,5.4,72.28
184,the messenger the story of joan of arc,1999,r,war,luc besson,5.325,72.27
185,the dark knight,2008,pg-13,crime,christopher nolan,8.825,72.27
186,oppenheimer,2023,r,drama,christopher nolan,8.625,72.26
187,octopussy,1983,pg,thriller,john glen,5.825,72.25
188,austin powers in goldmember,2002,pg-13,comedy,jay roach,5.9,72.25
189,live free or die hard,2007,pg-13,thriller,len wiseman,7.199999999999999,72.23
190,the patriot,2000,r,drama,roland emmerich,6.725,72.23
191,scary movie 4,2006,pg-13,comedy,david zucker,4.5,72.22
192,alien³,1992,r,science fiction,david fincher,5.775,72.22
193,atonement,2007,r,romance,joe wright,8.05,72.21
194,pinocchio,1940,g,fantasy,"norman ferguson, t. hee, wilfred jackson",8.625,72.21
195,devotion,2022,pg-13,war,j.d. dillard,7.1,72.2
196,how to train your dragon 2,2014,pg,fantasy,dean deblois,8.1,72.2
197,x men first class,2011,pg-13,science fiction,matthew vaughn,7.525,72.2
198,snakes on a plane,2006,r,crime,david r. ellis,5.9,72.2
199,smallfoot,2018,pg,comedy,"karey kirkpatrick, jason reisig",6.75,72.19
200,goldeneye,1995,pg-13,action,martin campbell,7.15,72.19
201,red dawn,1984,pg-13,war,john milius,5.725,72.19
202,get smart,2008,pg-13,thriller,peter segal,5.8,72.19
203,monster house,2006,pg,fantasy,gil kenan,6.9,72.17
204,rambo,2008,r,war,sylvester stallone,5.525,72.16
205,spirit stallion of the cimarron,2002,g,romance,"kelly asbury, lorna cook",6.75,72.15
206,little boy,2015,pg-13,war,alejandro monteverde,5.025,72.15
207,robots,2005,pg,comedy,"chris wedge, carlos saldanha",6.425000000000001,72.14
208,spy,2015,r,action,paul feig,7.7,72.14
209,along came a spider,2001,r,crime,lee tamahori,5.025,72.11
210,close encounters of the third kind,1977,pg,science fiction,steven spielberg,8.25,72.1
211,x2,2003,pg-13,action,bryan singer,7.425,72.1
212,camelot,1967,g,music,joshua logan,5.975,72.1
213,friday the 13th,2009,r,horror,marcus nispel,4.325,72.09
214,the beach,2000,r,romance,danny boyle,4.875,72.07000000000001
215,the invisible,2007,pg-13,mystery,david s. goyer,4.5,72.07000000000001
216,independence day,1996,pg-13,action,roland emmerich,6.65,72.06
217,railroad tigers,2016,nr,war,sheng ding,5.125,72.06
218,somethings gotta give,2003,pg-13,drama,nancy meyers,6.775,72.05
