Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
696,the accountant,2016,r,thriller,gavin o'connor,6.199999999999999,72.78
697,miracle at st anna,2008,r,war,spike lee,4.8,72.77
698,captain marvel,2019,pg-13,science fiction,"anna boden, ryan fleck",6.975,72.77
699,shrek forever after,2010,pg,comedy,mike mitchell,6.075,72.77
700,hereafter,2010,pg-13,fantasy,clint eastwood,5.75,72.76
701,mr beans holiday,2007,g,comedy,steve bendelack,5.875,72.76
702,alex cross,2012,pg-13,mystery,rob cohen,3.625,72.76
703,executive decision,1996,r,thriller,stuart baird,6.3,72.75
704,rush hour,1998,pg-13,crime,brett ratner,6.575,72.74000000000001
705,red tails,2012,pg-13,war,anthony hemingway,5.275,72.74000000000001
706,when a stranger calls,2006,pg-13,horror,simon west,3.575,72.74000000000001
707,notting hill,1999,pg-13,comedy,roger michell,7.425,72.74000000000001
708,cold pursuit,2019,r,crime,hans petter moland,6.125,72.72999999999999
709,underworld rise of the lycans,2009,r,fantasy,patrick tatopoulos,5.1,72.72999999999999
710,species,1995,r,horror,roger donaldson,5.25,72.72
711,uglydolls,2019,pg,music,kelly asbury,4.65,72.71
712,star trek v the final frontier,1989,pg,science fiction,william shatner,4.45,72.71
713,the invasion,2007,pg-13,mystery,oliver hirschbiegel,4.6,72.69
714,christopher robin,2018,pg,fantasy,marc forster,6.95,72.69
715,paddington,2014,pg,comedy,paul king,7.949999999999999,72.68
716,the whole nine yards,2000,r,crime,jonathan lynn,5.525,72.68
717,road to perdition,2002,r,crime,sam mendes,7.625,72.68
718,django unchained,2012,r,drama,quentin tarantino,8.375,72.67
719,dear john,2010,pg-13,war,lasse hallström,5.05,72.67
720,dont worry darling,2022,r,mystery,olivia wilde,5.425,72.67
721,tenet,2020,pg-13,science fiction,christopher nolan,7.1,72.67
722,anastasia,1997,g,fantasy,"don bluth, gary goldman",7.275,72.66
723,white house down,2013,pg-13,thriller,roland emmerich,5.8,72.66
724,cinderella man,2005,pg-13,romance,ron howard,7.6,72.66
725,k 19 the widowmaker,2002,pg-13,mystery,kathryn bigelow,6.25,72.65
726,the skeleton key,2005,pg-13,horror,iain softley,5.375,72.65
