Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
544,the great wall,2016,pg-13,fantasy,yimou zhang,4.9,0.7038
545,iron man 2,2010,pg-13,action,jon favreau,6.65,0.7038
546,pacific rim,2013,pg-13,action,guillermo del toro,6.875,0.7037
547,my big fat greek wedding 2,2016,pg-13,romance,kirk jones,4.625,0.7037
548,valkyrie,2008,pg-13,drama,bryan singer,6.45,0.7037
549,youve got mail,1998,pg,romance,nora ephron,6.525,0.7036
550,the tuxedo,2002,pg-13,science fiction,kevin donovan,4.050000000000001,0.7035
551,the great mouse detective,1986,g,mystery,"ron clements, burny mattinson, dave michener",7.3,0.7035
552,raising cain,1992,r,horror,brian de palma,5.675,0.7035
553,master and commander the far side of the world,2003,pg-13,drama,peter weir,7.825,0.7034
554,tremors,1990,pg-13,horror,ron underwood,7.35,0.7034
555,eternal sunshine of the spotless mind,2004,r,romance,michel gondry,8.625,0.7033
556,the rocky horror picture show,1975,r,science fiction,jim sharman,7.35,0.7033
557,superman ii,1980,pg,science fiction,"richard lester, richard donner",7.525,0.7033
558,austin powers international man of mystery,1997,pg-13,crime,jay roach,6.5,0.7033
559,the wedding singer,1998,pg-13,romance,frank coraci,6.7,0.7032
560,shes all that,1999,pg-13,romance,robert iscove,5.35,0.7032
561,that thing you do,1996,pg,music,tom hanks,7.575,0.7032
562,guy ritchies the covenant,2023,r,war,guy ritchie,7.475,0.7031
563,behind enemy lines,2001,pg-13,war,john moore,5.3500000000000005,0.7031
564,the deep end of the ocean,1999,pg-13,mystery,ulu grosbard,5.375,0.703
565,mr deeds,2002,pg-13,romance,steven brill,4.075,0.703
566,tomorrowland,2015,pg,mystery,brad bird,5.9,0.703
567,out of sight,1998,r,romance,steven soderbergh,7.9,0.703
568,jungle cruise,2021,pg-13,fantasy,jaume collet-serra,6.3,0.7029
569,crimson peak,2015,r,horror,guillermo del toro,6.75,0.7028
570,ready player one,2018,pg-13,science fiction,steven spielberg,7.15,0.7028
571,disturbia,2007,pg-13,mystery,d.j. caruso,6.65,0.7028
572,the score,2001,r,mystery,frank oz,7.0,0.7027
573,sherlock holmes,2009,pg-13,action,guy ritchie,6.85,0.7027
574,knock at the cabin,2023,r,mystery,m. night shyamalan,6.375,0.7027
575,taken,2008,pg-13,action,pierre morel,6.55,0.7027
576,passengers,2016,pg-13,science fiction,morten tyldum,5.275,0.7026
577,ghostbusters ii,1989,pg,fantasy,ivan reitman,6.074999999999999,0.7026
578,forgetting sarah marshall,2008,r,romance,nicholas stoller,7.175,0.7026
579,constantine,2005,r,horror,francis lawrence,5.925,0.7026
580,x2,2003,pg-13,action,bryan singer,7.425,0.7025
581,trance,2013,r,mystery,danny boyle,6.6,0.7024
582,julie  julia,2009,pg-13,romance,nora ephron,7.0,0.7024
583,the crazies,2010,r,mystery,breck eisner,6.4,0.7024
584,mechanic resurrection,2016,r,thriller,dennis gansel,4.65,0.7023
585,the foreigner,2017,r,thriller,martin campbell,6.525,0.7023
586,babe,1995,g,drama,chris noonan,7.775,0.7023
587,kung fu hustle,2004,r,crime,stephen chow,8.025,0.7023
588,howls moving castle,2004,pg,fantasy,hayao miyazaki,8.4,0.7021
589,fast five,2011,pg-13,crime,justin lin,7.225,0.7021
590,drive,2011,r,crime,nicolas winding refn,8.125,0.702
591,the book of eli,2010,r,thriller,"albert hughes, allen hughes",5.9,0.7019
592,bad moms,2016,r,comedy,"jon lucas, scott moore",6.15,0.7019
593,pennies from heaven,1981,r,music,herbert ross,6.800000000000001,0.7018
594,the soloist,2009,pg-13,music,joe wright,6.3,0.7018
595,metallica through the never,2013,r,music,nimród antal,7.05,0.7017
596,the possession,2012,pg-13,horror,ole bornedal,5.075,0.7017
