Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
213,spirit stallion of the cimarron,2002,g,romance,"kelly asbury, lorna cook",6.75,74.82
214,hostage,2005,r,crime,florent-emilio siri,5.175,74.81
215,cloudy with a chance of meatballs 2,2013,pg,comedy,"cody cameron, kris pearn",6.45,74.81
216,species,1995,r,horror,roger donaldson,5.25,74.81
217,big mommas house 2,2006,pg-13,crime,john whitesell,3.625,74.81
218,epic,2013,pg,fantasy,chris wedge,6.2,74.8
219,the rite,2011,pg-13,horror,mikael håfström,4.525,74.8
220,american wedding,2003,r,comedy,jesse dylan,5.525,74.8
221,the phantom of the opera,2004,pg-13,drama,joel schumacher,5.45,74.79
222,trolls world tour,2020,pg,music,"walt dohrn, david p. smith",6.425,74.79
223,superhero movie,2008,pg-13,science fiction,craig mazin,3.725,74.79
224,red tails,2012,pg-13,war,anthony hemingway,5.275,74.78
225,monsters inc,2001,g,comedy,"pete docter, david silverman, lee unkrich",8.35,74.78
226,gothika,2003,r,thriller,mathieu kassovitz,4.3,74.78
227,cold mountain,2003,r,romance,anthony minghella,7.1,74.78
228,88 minutes,2007,r,mystery,jon avnet,3.475,74.77000000000001
229,the sentinel,2006,pg-13,crime,clark johnson,5.1,74.77000000000001
230,broken arrow,1996,r,thriller,john woo,5.875,74.77000000000001
231,the beach,2000,r,romance,danny boyle,4.875,74.77000000000001
232,army of the dead,2021,r,horror,zack snyder,6.1,74.76
233,the princess diaries 2 royal engagement,2004,g,romance,garry marshall,4.85,74.76
234,how to lose a guy in 10 days,2003,pg-13,romance,donald petrie,5.5,74.76
235,when a stranger calls,2006,pg-13,horror,simon west,3.575,74.75
236,how to train your dragon,2010,pg,fantasy,"dean deblois, chris sanders",8.325,74.75
237,queen of the damned,2002,r,horror,michael rymer,4.025,74.75
238,american gangster,2007,r,drama,ridley scott,7.775,74.75
239,pitch perfect 3,2017,pg-13,comedy,trish sie,4.8,74.75
240,mona lisa smile,2003,pg-13,romance,mike newell,5.325,74.74
241,lilo  stitch,2002,pg,comedy,"dean deblois, chris sanders",7.725,74.74
242,hansel  gretel witch hunters,2013,r,horror,tommy wirkola,4.05,74.72999999999999
243,down to earth,2001,pg-13,romance,"chris weitz, paul weitz",4.0,74.72999999999999
244,the patriot,2000,r,drama,roland emmerich,6.725,74.72999999999999
245,jaws 3 d,1983,pg,horror,joe alves,3.0,74.72999999999999
246,made of honor,2008,pg-13,romance,paul weiland,4.375,74.72999999999999
247,wonder park,2019,pg,fantasy,dylan brown,5.1,74.72999999999999
248,americas sweethearts,2001,pg-13,romance,joe roth,4.775,74.72
249,original sin,2001,r,mystery,michael cristofer,4.15,74.72
250,space jam,1996,pg,science fiction,joe pytka,5.9,74.72
251,into the woods,2014,pg,comedy,rob marshall,6.4,74.72
252,valkyrie,2008,pg-13,drama,bryan singer,6.45,74.72
253,sonic the hedgehog,2020,pg,action,jeff fowler,6.225,74.71
254,dc league of super pets,2022,pg,comedy,"jared stern, sam j. levine",6.775,74.71
255,johnny english reborn,2011,pg,crime,oliver parker,5.25,74.71
256,the mask of zorro,1998,pg-13,action,martin campbell,7.025,74.7
257,death on the nile,2022,pg-13,thriller,kenneth branagh,6.025,74.7
258,daddys home,2015,pg-13,comedy,sean anders,4.95,74.7
259,swat,2003,pg-13,crime,clark johnson,5.4,74.7
260,congo,1995,pg-13,science fiction,frank marshall,3.825,74.7
261,police academy 4 citizens on patrol,1987,pg,crime,jim drake,3.275,74.7
262,sister act 2 back in the habit,1993,pg,music,bill duke,4.45,74.69
263,the forgotten,2004,pg-13,thriller,joseph ruben,4.775,74.69
264,beverly hills chihuahua,2008,pg,romance,raja gosnell,4.375,74.69
265,unbreakable,2000,pg-13,thriller,m. night shyamalan,6.9,74.69
266,entrapment,1999,pg-13,mystery,jon amiel,5.475,74.68
267,kingsman the secret service,2014,r,comedy,matthew vaughn,7.2,74.68
268,the saint,1997,pg-13,romance,phillip noyce,5.075,74.68
269,rio,2011,g,comedy,carlos saldanha,6.775,74.68
270,days of thunder,1990,pg-13,drama,tony scott,5.575,74.68
271,gone girl,2014,r,mystery,david fincher,8.175,74.68
272,the break up,2006,pg-13,comedy,peyton reed,4.9,74.68
273,the one,2001,pg-13,science fiction,james wong,3.95,74.67
274,george of the jungle,1997,pg,comedy,sam weisman,5.475,74.67
275,percy jackson  the olympians the lightning thief,2010,pg,fantasy,chris columbus,5.4,74.67
276,takers,2010,pg-13,crime,john luessenhop,4.925,74.67
277,petes dragon,2016,pg,fantasy,david lowery,7.25,74.67
278,bad boys for life,2020,r,crime,"adil el arbi, bilall fallah",6.775,74.67
279,stargate,1994,pg-13,science fiction,roland emmerich,5.875,74.67
280,the peanuts movie,2015,g,comedy,steve martino,7.324999999999999,74.67
281,divergent,2014,pg-13,action,neil burger,5.6,74.66000000000001
282,jumanji,1995,pg,fantasy,joe johnston,5.85,74.66000000000001
283,sgt peppers lonely hearts club band,1978,pg,music,michael schultz,3.1,74.66000000000001
284,the croods a new age,2020,pg,comedy,joel crawford,6.9,74.66000000000001
285,real steel,2011,pg-13,drama,shawn levy,6.425,74.66000000000001
286,marley  me,2008,pg,comedy,david frankel,6.475,74.66000000000001
287,valentines day,2010,pg-13,comedy,garry marshall,4.2,74.66000000000001
288,john q,2002,pg-13,crime,nick cassavetes,4.949999999999999,74.65
289,the bounty hunter,2010,pg-13,romance,andy tennant,3.725,74.65
290,star trek,2009,pg-13,science fiction,j.j. abrams,8.225,74.65
291,valiant,2005,g,war,gary chapman,4.675,74.65
292,mechanic resurrection,2016,r,thriller,dennis gansel,4.65,74.65
293,smurfs the lost village,2017,pg,comedy,kelly asbury,5.1,74.65
294,rambo first blood part ii,1985,r,action,george p. cosmatos,5.275,74.64
295,behind enemy lines,2001,pg-13,war,john moore,5.3500000000000005,74.64
