Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
660,spider man 2,2004,pg-13,science fiction,sam raimi,8.1,0.6768
661,iron man,2008,pg-13,action,jon favreau,8.2,0.6768
662,the fighting temptations,2003,pg-13,music,jonathan lynn,5.225,0.6765
663,300 rise of an empire,2014,r,war,noam murro,5.4,0.6765
664,the woman in black 2 angel of death,2014,pg-13,horror,tom harper,4.2,0.6764
665,wild wild west,1999,pg-13,science fiction,barry sonnenfeld,3.9,0.6764
666,planes,2013,pg,comedy,klay hall,4.525,0.6764
667,bridge of spies,2015,pg-13,thriller,steven spielberg,8.0,0.6762
668,black panther,2018,pg-13,science fiction,ryan coogler,8.275,0.6762
669,saw v,2008,r,thriller,david hackl,3.825,0.6762
670,jerry maguire,1996,r,drama,cameron crowe,7.625,0.676
671,superman,1978,pg,action,richard donner,8.0,0.6758
672,failure to launch,2006,pg-13,romance,tom dey,4.625,0.6757
673,space cowboys,2000,pg-13,thriller,clint eastwood,7.0,0.6751
674,alvin and the chipmunks,2007,pg,fantasy,tim hill,4.45,0.6748
675,speed 2 cruise control,1997,pg-13,thriller,jan de bont,2.825,0.6748
676,day watch,2006,r,horror,timur bekmambetov,6.15,0.6748
677,thor,2011,pg-13,action,kenneth branagh,6.8,0.6748
678,ant man,2015,pg-13,science fiction,peyton reed,7.25,0.6745
679,the international,2009,r,crime,tom tykwer,5.925,0.6744
680,strange magic,2015,pg,music,gary rydstrom,4.324999999999999,0.6744
681,for whom the bell tolls,1943,g,war,sam wood,6.625,0.6743
682,master and commander the far side of the world,2003,pg-13,drama,peter weir,7.825,0.6741
683,alien³,1992,r,science fiction,david fincher,5.775,0.674
684,the manchurian candidate,2004,r,mystery,jonathan demme,7.15,0.6737
685,think like a man,2012,pg-13,romance,tim story,5.95,0.6737
686,world war z,2013,pg-13,horror,marc forster,6.7,0.6736
687,zero dark thirty,2012,r,thriller,kathryn bigelow,8.25,0.6736
688,cheaper by the dozen,2003,pg,comedy,shawn levy,4.8,0.6735
689,riddick,2013,r,science fiction,david twohy,5.85,0.6735
690,the invasion,2007,pg-13,mystery,oliver hirschbiegel,4.6,0.6733
691,the talented mr ripley,1999,r,crime,anthony minghella,7.675,0.6733
692,flags of our fathers,2006,r,war,clint eastwood,7.375,0.6733
