Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
931,harry potter and the order of the phoenix,2007,pg-13,fantasy,david yates,7.525,72.3
932,i am number four,2011,pg-13,science fiction,d.j. caruso,4.775,72.3
933,the exorcist,1973,r,horror,william friedkin,7.925,72.3
934,big hero 6,2014,pg,comedy,"don hall, chris williams",7.975,72.28999999999999
935,home,2015,pg,fantasy,tim johnson,6.025,72.28999999999999
936,the wind that shakes the barley,2006,nr,war,ken loach,8.025,72.28
937,the invasion,2007,pg-13,mystery,oliver hirschbiegel,4.6,72.27
938,red dawn,1984,pg-13,war,john milius,5.725,72.26
939,little boy,2015,pg-13,war,alejandro monteverde,5.025,72.26
940,gallipoli,1981,pg,war,peter weir,7.525,72.26
941,just go with it,2011,pg-13,romance,dennis dugan,4.575,72.26
942,candyman,2021,r,horror,nia dacosta,6.875,72.26
943,deep impact,1998,pg-13,action,mimi leder,5.225,72.24000000000001
944,first blood,1982,r,thriller,ted kotcheff,7.475,72.24000000000001
945,the purge,2013,r,horror,james demonaco,5.05,72.24000000000001
946,the unholy,2021,pg-13,mystery,evan spiliotopoulos,4.525,72.23
947,police academy 4 citizens on patrol,1987,pg,crime,jim drake,3.275,72.23
948,the woman in black 2 angel of death,2014,pg-13,horror,tom harper,4.2,72.23
949,groundhog day,1993,pg,romance,harold ramis,8.05,72.23
950,sausage party,2016,r,fantasy,"conrad vernon, greg tiernan",6.65,72.22
951,percy jackson  the olympians the lightning thief,2010,pg,fantasy,chris columbus,5.4,72.22
952,puss in boots,2011,pg,comedy,chris miller,7.074999999999999,72.22
953,get out,2017,r,horror,jordan peele,8.425,72.21
954,enemy at the gates,2001,r,war,jean-jacques annaud,6.4,72.21
955,city of life and death,2009,r,war,chuan lu,8.2,72.2
956,the terminator,1984,r,science fiction,james cameron,8.55,72.2
957,disclosure,1994,r,crime,barry levinson,6.05,72.2
958,devils due,2014,r,horror,"matt bettinelli-olpin, tyler gillett",3.575,72.19
959,pacific rim,2013,pg-13,action,guillermo del toro,6.875,72.19
960,public enemies,2009,r,drama,michael mann,6.85,72.19
961,psycho,1998,r,mystery,gus van sant,4.625,72.19
962,fletch,1985,pg,crime,michael ritchie,7.075,72.19
963,eye in the sky,2015,r,war,gavin hood,7.775,72.18
964,copycat,1995,r,mystery,jon amiel,6.525,72.18
965,black rain,1989,r,thriller,ridley scott,6.05,72.18
966,tupac resurrection,2003,r,music,lauren lazin,7.525,72.17
967,treasure planet,2002,pg,science fiction,"ron clements, john musker",6.925,72.17
968,the name of the rose,1986,r,mystery,jean-jacques annaud,7.025,72.17
969,sonic the hedgehog 2,2022,pg,action,jeff fowler,6.4,72.17
970,source code,2011,pg-13,science fiction,duncan jones,7.85,72.17
971,jumper,2008,pg-13,action,doug liman,4.325,72.16
972,a history of violence,2005,r,crime,david cronenberg,7.9,72.15
973,cars 3,2017,g,comedy,brian fee,6.6000000000000005,72.15
974,ready or not,2019,r,horror,"matt bettinelli-olpin, tyler gillett",7.300000000000001,72.14
975,hot shots part deux,1993,pg-13,war,jim abrahams,6.35,72.14
976,childs play 2,1990,r,horror,john lafia,5.175,72.14
977,taking woodstock,2009,r,music,ang lee,5.8,72.14
978,burlesque,2010,pg-13,romance,steve antin,5.5,72.13000000000001
979,the caine mutiny,1954,nr,war,edward dmytryk,7.65,72.13000000000001
980,straight outta compton,2015,r,drama,f. gary gray,7.925,72.13000000000001
981,velvet goldmine,1998,r,music,todd haynes,6.65,72.13000000000001
982,dragon ball super broly,2018,pg,science fiction,tatsuya nagamine,7.475,72.11
983,the island of dr moreau,1996,pg-13,horror,"john frankenheimer, richard stanley",3.875,72.1
984,the train,1964,nr,war,john frankenheimer,8.175,72.09
985,tea with mussolini,1999,pg,war,franco zeffirelli,6.25,72.09
986,hamlet 2,2008,r,music,andrew fleming,5.95,72.09
987,darkest hour,2017,pg-13,drama,joe wright,7.675000000000001,72.09
988,the great muppet caper,1981,g,mystery,jim henson,7.175,72.08
989,the dark knight,2008,pg-13,crime,christopher nolan,8.825,72.08
990,good will hunting,1997,r,drama,gus van sant,8.3,72.08
991,devotion,2022,pg-13,war,j.d. dillard,7.1,72.07000000000001
992,vertical limit,2000,pg-13,thriller,martin campbell,5.4,72.06
993,the crying game,1992,r,crime,neil jordan,8.125,72.05
994,dreamgirls,2006,pg-13,music,bill condon,7.2,72.05
995,never say never again,1983,pg,thriller,irvin kershner,6.525,72.05
996,katy perry part of me,2012,pg,music,"dan cutforth, jane lipsitz",6.55,72.04
997,west side story,2021,pg-13,romance,steven spielberg,7.925,72.04
998,wall·e,2008,g,science fiction,andrew stanton,8.875,72.04
999,foul play,1978,pg,mystery,colin higgins,6.25,72.04
1000,victorvictoria,1982,pg,music,blake edwards,8.25,72.03
1001,philadelphia,1993,pg-13,drama,jonathan demme,7.524999999999999,72.02
1002,robocop,2014,pg-13,science fiction,josé padilha,5.55,72.00999999999999
1003,inside llewyn davis,2013,r,music,"ethan coen, joel coen",8.275,72.00999999999999
1004,the hunger games mockingjay   part 2,2015,pg-13,science fiction,francis lawrence,6.75,72.0
1005,guardians of the galaxy vol 2,2017,pg-13,science fiction,james gunn,7.6,72.0
1006,we were soldiers,2002,r,war,randall wallace,6.775,72.0
1007,think like a man,2012,pg-13,romance,tim story,5.95,71.97
1008,rosemarys baby,1968,r,horror,roman polanski,8.775,71.97
1009,the graduate,1967,pg,romance,mike nichols,8.15,71.97
1010,as good as it gets,1997,pg-13,drama,james l. brooks,7.6,71.96000000000001
1011,the bourne ultimatum,2007,pg-13,action,paul greengrass,8.275,71.96000000000001
1012,life as we know it,2010,pg-13,romance,greg berlanti,5.075,71.96000000000001
1013,48 hrs,1982,r,crime,walter hill,7.475,71.95
1014,dolores claiborne,1995,r,mystery,taylor hackford,7.35,71.95
1015,harry potter and the goblet of fire,2005,pg-13,fantasy,mike newell,8.1,71.95
1016,love story,1970,pg,romance,arthur hiller,7.1,71.94
1017,season of the witch,2011,pg-13,fantasy,dominic sena,3.7,71.93
1018,over the hedge,2006,pg,comedy,"tim johnson, karey kirkpatrick",6.875,71.93
1019,tremors,1990,pg-13,horror,ron underwood,7.35,71.92
1020,stigmata,1999,r,horror,rupert wainwright,4.375,71.92
1021,pink floyd the wall,1982,r,music,alan parker,7.0,71.92
1022,hitman agent 47,2015,r,crime,aleksander bach,3.8,71.92
1023,aliens,1986,r,science fiction,james cameron,8.525,71.89999999999999
1024,incredibles 2,2018,pg,action,brad bird,8.075,71.89999999999999
1025,alita battle angel,2019,pg-13,action,robert rodriguez,6.475,71.89
1026,taps,1981,pg,war,harold becker,6.325,71.89
1027,army of the dead,2021,r,horror,zack snyder,6.1,71.89
1028,the rose,1979,r,music,mark rydell,6.9,71.88
1029,apocalypse now,1979,r,war,francis ford coppola,8.775,71.88
1030,monsters inc,2001,g,comedy,"pete docter, david silverman, lee unkrich",8.35,71.88
1031,gone in sixty seconds,2000,pg-13,thriller,dominic sena,4.75,71.87
1032,the visitor,2007,pg-13,music,tom mccarthy,7.875,71.86
1033,breaker morant,1980,pg,war,bruce beresford,8.025,71.85000000000001
1034,the tuxedo,2002,pg-13,science fiction,kevin donovan,4.050000000000001,71.85000000000001
1035,american gangster,2007,r,drama,ridley scott,7.775,71.85000000000001
1036,breakin,1984,pg,music,joel silberg,5.275,71.85000000000001
1037,high anxiety,1977,pg,mystery,mel brooks,6.5,71.84
1038,the muppet movie,1979,g,music,james frawley,7.775,71.83
1039,music of the heart,1999,pg,music,wes craven,6.300000000000001,71.83
1040,the buddy holly story,1978,pg,music,steve rash,8.05,71.82
1041,passengers,2016,pg-13,science fiction,morten tyldum,5.275,71.81
1042,flame  citron,2008,nr,war,ole christian madsen,7.5,71.8
1043,what happened to monday,2017,r,mystery,tommy wirkola,6.2,71.8
1044,evangelion 3010 thrice upon a time,2021,nr,science fiction,"mahiro maeda, katsuichi nakayama, kazuya tsurumaki",8.65,71.78999999999999
1045,the secret world of arrietty,2010,g,fantasy,hiromasa yonebayashi,8.175,71.78999999999999
1046,operation chromite,2016,r,war,john h. lee,5.275,71.78999999999999
